danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.693,0.691,5,-6.456,1,0.0528,0.0336,2.11e-05,0.194,0.597,119.955,audio_features,5fCFj6M5BQQJ8t2EiExd3Z,spotify:track:5fCFj6M5BQQJ8t2EiExd3Z,https://api.spotify.com/v1/tracks/5fCFj6M5BQQJ8t2EiExd3Z,https://api.spotify.com/v1/audio-analysis/5fCFj6M5BQQJ8t2EiExd3Z,160000,4
0.678,0.792,0,-4.715,1,0.0268,0.000525,0.00321,0.0878,0.583,120.003,audio_features,0qDfBvaJe1UzCvE2VGTHOV,spotify:track:0qDfBvaJe1UzCvE2VGTHOV,https://api.spotify.com/v1/tracks/0qDfBvaJe1UzCvE2VGTHOV,https://api.spotify.com/v1/audio-analysis/0qDfBvaJe1UzCvE2VGTHOV,238500,4
0.613,0.598,5,-5.321,1,0.0269,0.161,0.0,0.111,0.27,89.983,audio_features,7EtCnq7brD1RU8ldqKWB0I,spotify:track:7EtCnq7brD1RU8ldqKWB0I,https://api.spotify.com/v1/tracks/7EtCnq7brD1RU8ldqKWB0I,https://api.spotify.com/v1/audio-analysis/7EtCnq7brD1RU8ldqKWB0I,240500,4
0.798,0.736,9,-5.092,1,0.0711,0.16,1.88e-05,0.0991,0.885,146.064,audio_features,0N5DeGdC258DI3DZEn2SEI,spotify:track:0N5DeGdC258DI3DZEn2SEI,https://api.spotify.com/v1/tracks/0N5DeGdC258DI3DZEn2SEI,https://api.spotify.com/v1/audio-analysis/0N5DeGdC258DI3DZEn2SEI,186500,4
0.653,0.642,7,-7.842,0,0.0389,0.183,2.09e-05,0.182,0.725,120.022,audio_features,5PoQpjsj902TmAtCOKVO2A,spotify:track:5PoQpjsj902TmAtCOKVO2A,https://api.spotify.com/v1/tracks/5PoQpjsj902TmAtCOKVO2A,https://api.spotify.com/v1/audio-analysis/5PoQpjsj902TmAtCOKVO2A,253067,4
0.674,0.596,6,-6.472,0,0.0608,0.572,0.0,0.0938,0.468,109.99,audio_features,12OcSYq9homFUUyerFDGy2,spotify:track:12OcSYq9homFUUyerFDGy2,https://api.spotify.com/v1/tracks/12OcSYq9homFUUyerFDGy2,https://api.spotify.com/v1/audio-analysis/12OcSYq9homFUUyerFDGy2,225500,4
0.615,0.738,1,-5.939,1,0.0449,0.588,9.53e-06,0.335,0.459,79.993,audio_features,11APF4YlwtMOLnZFtzlT5I,spotify:track:11APF4YlwtMOLnZFtzlT5I,https://api.spotify.com/v1/tracks/11APF4YlwtMOLnZFtzlT5I,https://api.spotify.com/v1/audio-analysis/11APF4YlwtMOLnZFtzlT5I,273271,4
0.553,0.568,9,-4.668,1,0.0276,0.414,0.0,0.112,0.346,79.994,audio_features,4A0mBhjXoX5xa70BtMBJUp,spotify:track:4A0mBhjXoX5xa70BtMBJUp,https://api.spotify.com/v1/tracks/4A0mBhjXoX5xa70BtMBJUp,https://api.spotify.com/v1/audio-analysis/4A0mBhjXoX5xa70BtMBJUp,279000,4
0.69,0.634,5,-5.689,1,0.0376,0.311,0.0,0.119,0.451,89.959,audio_features,7GfFmnGewokTR7RwkMpbW5,spotify:track:7GfFmnGewokTR7RwkMpbW5,https://api.spotify.com/v1/tracks/7GfFmnGewokTR7RwkMpbW5,https://api.spotify.com/v1/audio-analysis/7GfFmnGewokTR7RwkMpbW5,189500,4
0.715,0.804,11,-6.271,1,0.0713,0.0219,0.0,0.32,0.731,93.033,audio_features,1HKi1aNVZYF3u1Way1Gbw8,spotify:track:1HKi1aNVZYF3u1Way1Gbw8,https://api.spotify.com/v1/tracks/1HKi1aNVZYF3u1Way1Gbw8,https://api.spotify.com/v1/audio-analysis/1HKi1aNVZYF3u1Way1Gbw8,243000,4
0.401,0.65,0,-5.695,1,0.0532,0.718,2.74e-05,0.103,0.202,168.203,audio_features,2MQlQVep8jvfLzvTp6g66G,spotify:track:2MQlQVep8jvfLzvTp6g66G,https://api.spotify.com/v1/tracks/2MQlQVep8jvfLzvTp6g66G,https://api.spotify.com/v1/audio-analysis/2MQlQVep8jvfLzvTp6g66G,260872,4
0.56,0.772,5,-4.741,1,0.029,0.0279,0.0,0.156,0.492,84.02,audio_features,5m4KRqfXUks7t2gPJrz2Z6,spotify:track:5m4KRqfXUks7t2gPJrz2Z6,https://api.spotify.com/v1/tracks/5m4KRqfXUks7t2gPJrz2Z6,https://api.spotify.com/v1/audio-analysis/5m4KRqfXUks7t2gPJrz2Z6,239000,4
0.533,0.725,8,-5.35,1,0.121,0.089,0.0,0.303,0.59,163.941,audio_features,1DmSuLOeFWm23RqLhiRLdr,spotify:track:1DmSuLOeFWm23RqLhiRLdr,https://api.spotify.com/v1/tracks/1DmSuLOeFWm23RqLhiRLdr,https://api.spotify.com/v1/audio-analysis/1DmSuLOeFWm23RqLhiRLdr,224500,4
0.443,0.416,10,-8.256,1,0.0291,0.637,0.0,0.101,0.0671,91.604,audio_features,4DvQkReb1e05aruQUOygs4,spotify:track:4DvQkReb1e05aruQUOygs4,https://api.spotify.com/v1/tracks/4DvQkReb1e05aruQUOygs4,https://api.spotify.com/v1/audio-analysis/4DvQkReb1e05aruQUOygs4,261143,4
0.552,0.796,5,-6.227,0,0.125,0.0189,1.18e-06,0.22,0.697,172.128,audio_features,7Mcy886fsW8eUQzIwdLnVC,spotify:track:7Mcy886fsW8eUQzIwdLnVC,https://api.spotify.com/v1/tracks/7Mcy886fsW8eUQzIwdLnVC,https://api.spotify.com/v1/audio-analysis/7Mcy886fsW8eUQzIwdLnVC,188000,4
0.654,0.619,10,-7.169,1,0.022,0.322,3e-05,0.211,0.555,100.0,audio_features,7vkpeMzZAqCNHKuhajD62l,spotify:track:7vkpeMzZAqCNHKuhajD62l,https://api.spotify.com/v1/tracks/7vkpeMzZAqCNHKuhajD62l,https://api.spotify.com/v1/audio-analysis/7vkpeMzZAqCNHKuhajD62l,292168,4
0.55,0.794,2,-5.02,1,0.0447,0.0388,1.27e-05,0.109,0.608,163.9,audio_features,0g6sPkauqoHKPtLzYGc1z6,spotify:track:0g6sPkauqoHKPtLzYGc1z6,https://api.spotify.com/v1/tracks/0g6sPkauqoHKPtLzYGc1z6,https://api.spotify.com/v1/audio-analysis/0g6sPkauqoHKPtLzYGc1z6,238000,4
